repeat,outer_fold,roc_auc,balanced_accuracy,average_precision,f1_score
1,1,0.46510349880930574,0.5182267814618062,0.3478500069772692,0.38596491228070173
1,2,0.4975270196006595,0.47856750320571534,0.3543035304279549,0.3816793893129771
1,3,0.5151126579959701,0.5316907858582158,0.3352645465230465,0.42276422764227645
1,4,0.48677395486496483,0.5,0.3402033224468929,0.0
1,5,0.47558268590455055,0.47299297077321495,0.35565332315086057,0.3418803418803419
2,1,0.4566770470782195,0.4737131342736765,0.3138544093242651,0.3787878787878788
2,2,0.5222568235940648,0.518501557061733,0.3463755064686779,0.3783783783783784
2,3,0.46510349880930574,0.4564938633449349,0.3306860961136014,0.30357142857142855
2,4,0.44422863485016645,0.43488716241213465,0.3252963219578225,0.29310344827586204
2,5,0.45209027007029223,0.49019607843137253,0.314222082608136,0.0
3,1,0.44944128961348234,0.5,0.33558907520521386,0.0
3,2,0.5006411430664958,0.511723758930207,0.3886890773865971,0.42105263157894735
3,3,0.4579593332112108,0.4462355742810038,0.31122725341017904,0.31666666666666665
3,4,0.5082315945246023,0.49935257121716614,0.3678478837821907,0.30927835051546393
3,5,0.46559378468368473,0.5,0.33469023826619515,0.0
4,1,0.4315808756182451,0.5,0.31095449232125466,0.0
4,2,0.46821762227514196,0.5,0.3341990724842931,0.0
4,3,0.49917567320021977,0.500732734933138,0.36934070428000515,0.30927835051546393
4,4,0.5253422123566408,0.5261746207917128,0.3588891927674839,0.39285714285714285
4,5,0.46503884572697,0.4967628560858306,0.3471984757814715,0.3728813559322034
5,1,0.4760945228063748,0.5,0.3498654764474032,0.0
5,2,0.4691335409415644,0.5,0.35567510125643126,0.0
5,3,0.5955303169078586,0.5899432130426818,0.4287125913630883,0.46846846846846846
5,4,0.4711431742508324,0.48353681095079537,0.32515557572156195,0.3302752293577982
5,5,0.47743248242693304,0.47641509433962265,0.34676443841739313,0.375
6,1,0.4268180985528485,0.4270928741527752,0.33506728822394255,0.2975206611570248
6,2,0.4784759113390731,0.4910239970690603,0.3290003180342942,0.30303030303030304
6,3,0.5259204982597546,0.5271111925261036,0.37149121806892527,0.4132231404958678
6,4,0.465778764335923,0.4560673325934147,0.35197881055201385,0.37681159420289856
6,5,0.49815020347761746,0.5118386977432483,0.3339595833366012,0.375
7,1,0.5054039201318923,0.5093423703975087,0.36774909496404495,0.35514018691588783
7,2,0.5030225315991941,0.524180252793552,0.3462813924719045,0.3564356435643564
7,3,0.48140685107162484,0.48855101666971973,0.32995619550927835,0.38095238095238093
7,4,0.4865889752127266,0.5,0.3649397125455985,0.0
7,5,0.5401405845357011,0.5352386237513873,0.4028132959701603,0.41379310344827586
